id	kind	name	qualified_name	namespace	expected_namespace	namespace_path_match	path	line	compilation_unit	module	lint_tag	signature	noexcept	parent_id	owner_type	trivial_destructor	linkage	seen_in_tu_count
decl:c:@F@ALTREP	external_function	ALTREP	ALTREP				/usr/share/R/include/Rinternals.h	1152		external		int (struct SEXPREC *)	false				external	5
decl:c:@F@ANY_ATTRIB	external_function	ANY_ATTRIB	ANY_ATTRIB				/usr/share/R/include/Rinternals.h	266		external		int (struct SEXPREC *)	false				external	4
decl:c:@F@INTEGER	external_function	INTEGER	INTEGER				/usr/share/R/include/Rinternals.h	275		external		int *(struct SEXPREC *)	false				external	34
decl:c:@F@INTEGER_RO	external_function	INTEGER_RO	INTEGER_RO				/usr/share/R/include/Rinternals.h	280		external		const int *(struct SEXPREC *)	false				external	18
decl:c:@F@LENGTH	external_function	LENGTH	LENGTH				/usr/share/R/include/Rinternals.h	270		external		int (struct SEXPREC *)	false				external	67
decl:c:@F@LOGICAL	external_function	LOGICAL	LOGICAL				/usr/share/R/include/Rinternals.h	274		external		int *(struct SEXPREC *)	false				external	19
decl:c:@F@LOGICAL_RO	external_function	LOGICAL_RO	LOGICAL_RO				/usr/share/R/include/Rinternals.h	279		external		const int *(struct SEXPREC *)	false				external	21
decl:c:@F@NO_REFERENCES	external_function	NO_REFERENCES	NO_REFERENCES				/usr/share/R/include/Rinternals.h	249		external		int (struct SEXPREC *)	false				external	2
decl:c:@F@PRINTNAME	external_function	PRINTNAME	PRINTNAME				/usr/share/R/include/Rinternals.h	348		external		struct SEXPREC *(struct SEXPREC *)	false				external	2
decl:c:@F@RAW	external_function	RAW	RAW				/usr/share/R/include/Rinternals.h	276		external		unsigned char *(struct SEXPREC *)	false				external	2
decl:c:@F@REAL_RO	external_function	REAL_RO	REAL_RO				/usr/share/R/include/Rinternals.h	282		external		const double *(struct SEXPREC *)	false				external	2
decl:c:@F@R_CHAR	external_function	R_CHAR	R_CHAR				/usr/share/R/include/Rinternals.h	204		external		const char *(struct SEXPREC *)	false				external	57
decl:c:@F@R_ContinueUnwind	external_function	R_ContinueUnwind	R_ContinueUnwind				/usr/share/R/include/Rinternals.h	641		external		void (struct SEXPREC *) __attribute__((noreturn))	false				external	94
decl:c:@F@R_ExpandFileName	external_function	R_ExpandFileName	R_ExpandFileName				/usr/share/R/include/R_ext/Utils.h	87		external		const char *(const char *)	false				external	2
decl:c:@F@R_IsNA	external_function	R_IsNA	R_IsNA				/usr/share/R/include/R_ext/Arith.h	61		external		int (double)	false				external	2
decl:c:@F@R_MakeUnwindCont	external_function	R_MakeUnwindCont	R_MakeUnwindCont				/usr/share/R/include/Rinternals.h	640		external		struct SEXPREC *(void)	false				external	94
