source_unit	target_unit	source_path	target_path	relationship	edge_count	source_entity_count
unit:src/altrep_backend/boundary/options_r.cpp	unit:src/altrep_backend/ci_prepare_arg.cpp	src/altrep_backend/boundary/options_r.cpp	src/altrep_backend/ci_prepare_arg.cpp	calls	5	3
unit:src/altrep_backend/ci_compare.cpp	unit:src/altrep_backend/ci_exception.cpp	src/altrep_backend/ci_compare.cpp	src/altrep_backend/ci_exception.cpp	calls	1	1
unit:src/altrep_backend/ci_compare.cpp	unit:src/altrep_backend/ci_prepare_arg.cpp	src/altrep_backend/ci_compare.cpp	src/altrep_backend/ci_prepare_arg.cpp	calls	2	1
unit:src/altrep_backend/ci_compare.cpp	unit:src/altrep_backend/collator/options.cpp	src/altrep_backend/ci_compare.cpp	src/altrep_backend/collator/options.cpp	calls	1	1
unit:src/altrep_backend/ci_compare.cpp	unit:src/shared/collator.cpp	src/altrep_backend/ci_compare.cpp	src/shared/collator.cpp	calls	2	1
unit:src/altrep_backend/ci_compare.cpp	unit:src/shared/collator.cpp	src/altrep_backend/ci_compare.cpp	src/shared/collator.cpp	constructs	1	1
unit:src/altrep_backend/ci_compare.cpp	unit:src/shared/native_to_utf8.cpp	src/altrep_backend/ci_compare.cpp	src/shared/native_to_utf8.cpp	constructs	2	1
unit:src/altrep_backend/ci_dup.cpp	unit:src/altrep_backend/ci_prepare_arg.cpp	src/altrep_backend/ci_dup.cpp	src/altrep_backend/ci_prepare_arg.cpp	calls	2	1
unit:src/altrep_backend/ci_dup.cpp	unit:src/altrep_backend/io/utf8_output.cpp	src/altrep_backend/ci_dup.cpp	src/altrep_backend/io/utf8_output.cpp	calls	3	1
unit:src/altrep_backend/ci_dup.cpp	unit:src/altrep_backend/io/utf8_output.cpp	src/altrep_backend/ci_dup.cpp	src/altrep_backend/io/utf8_output.cpp	constructs	1	1
unit:src/altrep_backend/ci_dup.cpp	unit:src/shared/native_to_utf8.cpp	src/altrep_backend/ci_dup.cpp	src/shared/native_to_utf8.cpp	constructs	1	1
unit:src/altrep_backend/ci_dup.cpp	unit:src/shared/repeat.cpp	src/altrep_backend/ci_dup.cpp	src/shared/repeat.cpp	calls	2	1
unit:src/altrep_backend/ci_duplicated.cpp	unit:src/altrep_backend/ci_exception.cpp	src/altrep_backend/ci_duplicated.cpp	src/altrep_backend/ci_exception.cpp	calls	1	1
